"date","type","model_name","value","period","ribbon_low","ribbon_high","interval"
"2015-01-31","Էլեկտրաէներգիա, ընդամենը, մլն.կՎտ. ժամ","Actual Data",NA,"Year-over-year (YoY) production values and forecast",NA,NA,0.5
"2015-02-28","Էլեկտրաէներգիա, ընդամենը, մլն.կՎտ. ժամ","Actual Data",NA,"Year-over-year (YoY) production values and forecast",NA,NA,0.5
"2015-03-31","Էլեկտրաէներգիա, ընդամենը, մլն.կՎտ. ժամ","Actual Data",NA,"Year-over-year (YoY) production values and forecast",NA,NA,0.5
"2015-04-30","Էլեկտրաէներգիա, ընդամենը, մլն.կՎտ. ժամ","Actual Data",NA,"Year-over-year (YoY) production values and forecast",NA,NA,0.5
"2015-05-31","Էլեկտրաէներգիա, ընդամենը, մլն.կՎտ. ժամ","Actual Data",NA,"Year-over-year (YoY) production values and forecast",NA,NA,0.5
"2015-06-30","Էլեկտրաէներգիա, ընդամենը, մլն.կՎտ. ժամ","Actual Data",NA,"Year-over-year (YoY) production values and forecast",NA,NA,0.5
"2015-07-31","Էլեկտրաէներգիա, ընդամենը, մլն.կՎտ. ժամ","Actual Data",NA,"Year-over-year (YoY) production values and forecast",NA,NA,0.5
"2015-08-31","Էլեկտրաէներգիա, ընդամենը, մլն.կՎտ. ժամ","Actual Data",NA,"Year-over-year (YoY) production values and forecast",NA,NA,0.5
"2015-09-30","Էլեկտրաէներգիա, ընդամենը, մլն.կՎտ. ժամ","Actual Data",NA,"Year-over-year (YoY) production values and forecast",NA,NA,0.5
"2015-10-31","Էլեկտրաէներգիա, ընդամենը, մլն.կՎտ. ժամ","Actual Data",NA,"Year-over-year (YoY) production values and forecast",NA,NA,0.5
"2015-11-30","Էլեկտրաէներգիա, ընդամենը, մլն.կՎտ. ժամ","Actual Data",NA,"Year-over-year (YoY) production values and forecast",NA,NA,0.5
"2015-12-31","Էլեկտրաէներգիա, ընդամենը, մլն.կՎտ. ժամ","Actual Data",9721.7,"Year-over-year (YoY) production values and forecast",NA,NA,0.5
"2016-01-31","Էլեկտրաէներգիա, ընդամենը, մլն.կՎտ. ժամ","Actual Data",9715.800000000001,"Year-over-year (YoY) production values and forecast",NA,NA,0.5
"2016-02-29","Էլեկտրաէներգիա, ընդամենը, մլն.կՎտ. ժամ","Actual Data",9666.900000000001,"Year-over-year (YoY) production values and forecast",NA,NA,0.5
"2016-03-31","Էլեկտրաէներգիա, ընդամենը, մլն.կՎտ. ժամ","Actual Data",8925.200000000003,"Year-over-year (YoY) production values and forecast",NA,NA,0.5
"2016-04-30","Էլեկտրաէներգիա, ընդամենը, մլն.կՎտ. ժամ","Actual Data",8807.300000000003,"Year-over-year (YoY) production values and forecast",NA,NA,0.5
"2016-05-31","Էլեկտրաէներգիա, ընդամենը, մլն.կՎտ. ժամ","Actual Data",8810.700000000003,"Year-over-year (YoY) production values and forecast",NA,NA,0.5
"2016-06-30","Էլեկտրաէներգիա, ընդամենը, մլն.կՎտ. ժամ","Actual Data",8787.600000000002,"Year-over-year (YoY) production values and forecast",NA,NA,0.5
"2016-07-31","Էլեկտրաէներգիա, ընդամենը, մլն.կՎտ. ժամ","Actual Data",8683.300000000003,"Year-over-year (YoY) production values and forecast",NA,NA,0.5
"2016-08-31","Էլեկտրաէներգիա, ընդամենը, մլն.կՎտ. ժամ","Actual Data",7348.200000000001,"Year-over-year (YoY) production values and forecast",NA,NA,0.5
"2016-09-30","Էլեկտրաէներգիա, ընդամենը, մլն.կՎտ. ժամ","Actual Data",7315.200000000001,"Year-over-year (YoY) production values and forecast",NA,NA,0.5
"2016-10-31","Էլեկտրաէներգիա, ընդամենը, մլն.կՎտ. ժամ","Actual Data",7408.000000000001,"Year-over-year (YoY) production values and forecast",NA,NA,0.5
"2016-11-30","Էլեկտրաէներգիա, ընդամենը, մլն.կՎտ. ժամ","Actual Data",7451.700000000001,"Year-over-year (YoY) production values and forecast",NA,NA,0.5
"2016-12-31","Էլեկտրաէներգիա, ընդամենը, մլն.կՎտ. ժամ","Actual Data",7493.500000000002,"Year-over-year (YoY) production values and forecast",NA,NA,0.5
"2017-01-31","Էլեկտրաէներգիա, ընդամենը, մլն.կՎտ. ժամ","Actual Data",7427.4000000000015,"Year-over-year (YoY) production values and forecast",NA,NA,0.5
"2017-02-28","Էլեկտրաէներգիա, ընդամենը, մլն.կՎտ. ժամ","Actual Data",7457.200000000001,"Year-over-year (YoY) production values and forecast",NA,NA,0.5
"2017-03-31","Էլեկտրաէներգիա, ընդամենը, մլն.կՎտ. ժամ","Actual Data",7503.1,"Year-over-year (YoY) production values and forecast",NA,NA,0.5
"2017-04-30","Էլեկտրաէներգիա, ընդամենը, մլն.կՎտ. ժամ","Actual Data",7639.5999999999985,"Year-over-year (YoY) production values and forecast",NA,NA,0.5
"2017-05-31","Էլեկտրաէներգիա, ընդամենը, մլն.կՎտ. ժամ","Actual Data",7633.5,"Year-over-year (YoY) production values and forecast",NA,NA,0.5
"2017-06-30","Էլեկտրաէներգիա, ընդամենը, մլն.կՎտ. ժամ","Actual Data",7664.300000000001,"Year-over-year (YoY) production values and forecast",NA,NA,0.5
"2017-07-31","Էլեկտրաէներգիա, ընդամենը, մլն.կՎտ. ժամ","Actual Data",7636.799999999999,"Year-over-year (YoY) production values and forecast",NA,NA,0.5
"2017-08-31","Էլեկտրաէներգիա, ընդամենը, մլն.կՎտ. ժամ","Actual Data",7638.000000000001,"Year-over-year (YoY) production values and forecast",NA,NA,0.5
"2017-09-30","Էլեկտրաէներգիա, ընդամենը, մլն.կՎտ. ժամ","Actual Data",7762.9000000000005,"Year-over-year (YoY) production values and forecast",NA,NA,0.5
"2017-10-31","Էլեկտրաէներգիա, ընդամենը, մլն.կՎտ. ժամ","Actual Data",7817.4000000000005,"Year-over-year (YoY) production values and forecast",NA,NA,0.5
"2017-11-30","Էլեկտրաէներգիա, ընդամենը, մլն.կՎտ. ժամ","Actual Data",7814.200000000002,"Year-over-year (YoY) production values and forecast",NA,NA,0.5
"2017-12-31","Էլեկտրաէներգիա, ընդամենը, մլն.կՎտ. ժամ","Actual Data",7770.800000000001,"Year-over-year (YoY) production values and forecast",NA,NA,0.5
"2018-01-31","Էլեկտրաէներգիա, ընդամենը, մլն.կՎտ. ժամ","Actual Data",7751.4000000000015,"Year-over-year (YoY) production values and forecast",NA,NA,0.5
"2018-02-28","Էլեկտրաէներգիա, ընդամենը, մլն.կՎտ. ժամ","Actual Data",7761.300000000001,"Year-over-year (YoY) production values and forecast",NA,NA,0.5
"2018-03-31","Էլեկտրաէներգիա, ընդամենը, մլն.կՎտ. ժամ","Actual Data",7821.600000000001,"Year-over-year (YoY) production values and forecast",NA,NA,0.5
"2018-04-30","Էլեկտրաէներգիա, ընդամենը, մլն.կՎտ. ժամ","Actual Data",7799.700000000002,"Year-over-year (YoY) production values and forecast",NA,NA,0.5
"2018-05-31","Էլեկտրաէներգիա, ընդամենը, մլն.կՎտ. ժամ","Actual Data",7827.8,"Year-over-year (YoY) production values and forecast",NA,NA,0.5
"2018-06-30","Էլեկտրաէներգիա, ընդամենը, մլն.կՎտ. ժամ","Actual Data",7793.7,"Year-over-year (YoY) production values and forecast",NA,NA,0.5
"2018-07-31","Էլեկտրաէներգիա, ընդամենը, մլն.կՎտ. ժամ","Actual Data",7878.9000000000005,"Year-over-year (YoY) production values and forecast",NA,NA,0.5
"2018-08-31","Էլեկտրաէներգիա, ընդամենը, մլն.կՎտ. ժամ","Actual Data",7930.9000000000005,"Year-over-year (YoY) production values and forecast",NA,NA,0.5
"2018-09-30","Էլեկտրաէներգիա, ընդամենը, մլն.կՎտ. ժամ","Actual Data",7776.9000000000005,"Year-over-year (YoY) production values and forecast",NA,NA,0.5
"2018-10-31","Էլեկտրաէներգիա, ընդամենը, մլն.կՎտ. ժամ","Actual Data",7558.9000000000005,"Year-over-year (YoY) production values and forecast",NA,NA,0.5
"2018-11-30","Էլեկտրաէներգիա, ընդամենը, մլն.կՎտ. ժամ","Actual Data",7461.4000000000015,"Year-over-year (YoY) production values and forecast",NA,NA,0.5
"2018-12-31","Էլեկտրաէներգիա, ընդամենը, մլն.կՎտ. ժամ","Actual Data",7482.100000000001,"Year-over-year (YoY) production values and forecast",NA,NA,0.5
"2019-01-31","Էլեկտրաէներգիա, ընդամենը, մլն.կՎտ. ժամ","Actual Data",7531.800000000001,"Year-over-year (YoY) production values and forecast",NA,NA,0.5
"2019-02-28","Էլեկտրաէներգիա, ընդամենը, մլն.կՎտ. ժամ","Actual Data",7537.600000000002,"Year-over-year (YoY) production values and forecast",NA,NA,0.5
"2019-03-31","Էլեկտրաէներգիա, ընդամենը, մլն.կՎտ. ժամ","Actual Data",7566.9000000000015,"Year-over-year (YoY) production values and forecast",NA,NA,0.5
"2019-04-30","Էլեկտրաէներգիա, ընդամենը, մլն.կՎտ. ժամ","Actual Data",7552,"Year-over-year (YoY) production values and forecast",NA,NA,0.5
"2019-05-31","Էլեկտրաէներգիա, ընդամենը, մլն.կՎտ. ժամ","Actual Data",7596.600000000001,"Year-over-year (YoY) production values and forecast",NA,NA,0.5
"2019-06-30","Էլեկտրաէներգիա, ընդամենը, մլն.կՎտ. ժամ","Actual Data",7651.500000000001,"Year-over-year (YoY) production values and forecast",NA,NA,0.5
"2019-07-31","Էլեկտրաէներգիա, ընդամենը, մլն.կՎտ. ժամ","Actual Data",7601.500000000001,"Year-over-year (YoY) production values and forecast",NA,NA,0.5
"2019-08-31","Էլեկտրաէներգիա, ընդամենը, մլն.կՎտ. ժամ","Actual Data",7538.5999999999995,"Year-over-year (YoY) production values and forecast",NA,NA,0.5
"2019-09-30","Էլեկտրաէներգիա, ընդամենը, մլն.կՎտ. ժամ","Actual Data",7632.3,"Year-over-year (YoY) production values and forecast",NA,NA,0.5
"2019-10-31","Էլեկտրաէներգիա, ընդամենը, մլն.կՎտ. ժամ","Actual Data",7746.5,"Year-over-year (YoY) production values and forecast",NA,NA,0.5
"2019-11-30","Էլեկտրաէներգիա, ընդամենը, մլն.կՎտ. ժամ","Actual Data",7906.9000000000005,"Year-over-year (YoY) production values and forecast",NA,NA,0.5
"2019-12-31","Էլեկտրաէներգիա, ընդամենը, մլն.կՎտ. ժամ","Actual Data",7900.700000000001,"Year-over-year (YoY) production values and forecast",NA,NA,0.5
"2020-01-31","Էլեկտրաէներգիա, ընդամենը, մլն.կՎտ. ժամ","Actual Data",7880.8,"Year-over-year (YoY) production values and forecast",NA,NA,0.5
"2020-02-29","Էլեկտրաէներգիա, ընդամենը, մլն.կՎտ. ժամ","Actual Data",7880,"Year-over-year (YoY) production values and forecast",NA,NA,0.5
"2020-03-31","Էլեկտրաէներգիա, ընդամենը, մլն.կՎտ. ժամ","Actual Data",7791.6,"Year-over-year (YoY) production values and forecast",NA,NA,0.5
"2020-04-30","Էլեկտրաէներգիա, ընդամենը, մլն.կՎտ. ժամ","Actual Data",7778.300000000001,"Year-over-year (YoY) production values and forecast",NA,NA,0.5
"2020-05-31","Էլեկտրաէներգիա, ընդամենը, մլն.կՎտ. ժամ","Actual Data",7729.4,"Year-over-year (YoY) production values and forecast",NA,NA,0.5
"2020-06-30","Էլեկտրաէներգիա, ընդամենը, մլն.կՎտ. ժամ","Actual Data",7718.7,"Year-over-year (YoY) production values and forecast",NA,NA,0.5
"2020-07-31","Էլեկտրաէներգիա, ընդամենը, մլն.կՎտ. ժամ","Actual Data",7736.6,"Year-over-year (YoY) production values and forecast",NA,NA,0.5
"2020-08-31","Էլեկտրաէներգիա, ընդամենը, մլն.կՎտ. ժամ","Actual Data",7755.7,"Year-over-year (YoY) production values and forecast",NA,NA,0.5
"2020-09-30","Էլեկտրաէներգիա, ընդամենը, մլն.կՎտ. ժամ","Actual Data",7723.4000000000005,"Year-over-year (YoY) production values and forecast",NA,NA,0.5
"2020-10-31","Էլեկտրաէներգիա, ընդամենը, մլն.կՎտ. ժամ","Actual Data",7739.5,"Year-over-year (YoY) production values and forecast",NA,NA,0.5
"2020-11-30","Էլեկտրաէներգիա, ընդամենը, մլն.կՎտ. ժամ","Actual Data",7638.9000000000005,"Year-over-year (YoY) production values and forecast",NA,NA,0.5
"2020-12-31","Էլեկտրաէներգիա, ընդամենը, մլն.կՎտ. ժամ","Actual Data",7753,"Year-over-year (YoY) production values and forecast",NA,NA,0.5
"2021-01-31","Էլեկտրաէներգիա, ընդամենը, մլն.կՎտ. ժամ","Actual Data",7805.700000000001,"Year-over-year (YoY) production values and forecast",NA,NA,0.5
"2021-02-28","Էլեկտրաէներգիա, ընդամենը, մլն.կՎտ. ժամ","Actual Data",7787.600000000001,"Year-over-year (YoY) production values and forecast",NA,NA,0.5
"2021-03-31","Էլեկտրաէներգիա, ընդամենը, մլն.կՎտ. ժամ","Actual Data",7743.300000000001,"Year-over-year (YoY) production values and forecast",NA,NA,0.5
"2021-04-30","Էլեկտրաէներգիա, ընդամենը, մլն.կՎտ. ժամ","Actual Data",7729.1,"Year-over-year (YoY) production values and forecast",NA,NA,0.5
"2021-05-31","Էլեկտրաէներգիա, ընդամենը, մլն.կՎտ. ժամ","Actual Data",7649.1,"Year-over-year (YoY) production values and forecast",NA,NA,0.5
"2021-06-30","Էլեկտրաէներգիա, ընդամենը, մլն.կՎտ. ժամ","Actual Data",7567.300000000002,"Year-over-year (YoY) production values and forecast",NA,NA,0.5
"2021-07-31","Էլեկտրաէներգիա, ընդամենը, մլն.կՎտ. ժամ","Actual Data",7528.700000000001,"Year-over-year (YoY) production values and forecast",NA,NA,0.5
"2021-08-31","Էլեկտրաէներգիա, ընդամենը, մլն.կՎտ. ժամ","Actual Data",7581.300000000002,"Year-over-year (YoY) production values and forecast",NA,NA,0.5
"2021-09-30","Էլեկտրաէներգիա, ընդամենը, մլն.կՎտ. ժամ","Actual Data",7674.9000000000005,"Year-over-year (YoY) production values and forecast",NA,NA,0.5
"2021-10-31","Էլեկտրաէներգիա, ընդամենը, մլն.կՎտ. ժամ","Actual Data",7817.700000000001,"Year-over-year (YoY) production values and forecast",NA,NA,0.5
"2021-11-30","Էլեկտրաէներգիա, ընդամենը, մլն.կՎտ. ժամ","Actual Data",7977,"Year-over-year (YoY) production values and forecast",NA,NA,0.5
"2021-12-31","Էլեկտրաէներգիա, ընդամենը, մլն.կՎտ. ժամ","Actual Data",8027.299999999999,"Year-over-year (YoY) production values and forecast",NA,NA,0.5
"2022-01-31","Էլեկտրաէներգիա, ընդամենը, մլն.կՎտ. ժամ","Actual Data",8064.300000000001,"Year-over-year (YoY) production values and forecast",NA,NA,0.5
"2022-02-28","Էլեկտրաէներգիա, ընդամենը, մլն.կՎտ. ժամ","Actual Data",8110,"Year-over-year (YoY) production values and forecast",NA,NA,0.5
"2022-03-31","Էլեկտրաէներգիա, ընդամենը, մլն.կՎտ. ժամ","Actual Data",8240.2,"Year-over-year (YoY) production values and forecast",NA,NA,0.5
"2022-04-30","Էլեկտրաէներգիա, ընդամենը, մլն.կՎտ. ժամ","Actual Data",8338.5,"Year-over-year (YoY) production values and forecast",NA,NA,0.5
"2022-05-31","Էլեկտրաէներգիա, ընդամենը, մլն.կՎտ. ժամ","Actual Data",8512,"Year-over-year (YoY) production values and forecast",NA,NA,0.5
"2022-06-30","Էլեկտրաէներգիա, ընդամենը, մլն.կՎտ. ժամ","Actual Data",8618.2,"Year-over-year (YoY) production values and forecast",NA,NA,0.5
