"date","type","model_name","value","period","ribbon_low","ribbon_high","interval"
"2015-01-31","Արևային էլեկտրակայաններ","Actual Data",NA,"Year-over-year (YoY) production values and forecast",NA,NA,0.5
"2015-02-28","Արևային էլեկտրակայաններ","Actual Data",NA,"Year-over-year (YoY) production values and forecast",NA,NA,0.5
"2015-03-31","Արևային էլեկտրակայաններ","Actual Data",NA,"Year-over-year (YoY) production values and forecast",NA,NA,0.5
"2015-04-30","Արևային էլեկտրակայաններ","Actual Data",NA,"Year-over-year (YoY) production values and forecast",NA,NA,0.5
"2015-05-31","Արևային էլեկտրակայաններ","Actual Data",NA,"Year-over-year (YoY) production values and forecast",NA,NA,0.5
"2015-06-30","Արևային էլեկտրակայաններ","Actual Data",NA,"Year-over-year (YoY) production values and forecast",NA,NA,0.5
"2015-07-31","Արևային էլեկտրակայաններ","Actual Data",NA,"Year-over-year (YoY) production values and forecast",NA,NA,0.5
"2015-08-31","Արևային էլեկտրակայաններ","Actual Data",NA,"Year-over-year (YoY) production values and forecast",NA,NA,0.5
"2015-09-30","Արևային էլեկտրակայաններ","Actual Data",NA,"Year-over-year (YoY) production values and forecast",NA,NA,0.5
"2015-10-31","Արևային էլեկտրակայաններ","Actual Data",NA,"Year-over-year (YoY) production values and forecast",NA,NA,0.5
"2015-11-30","Արևային էլեկտրակայաններ","Actual Data",NA,"Year-over-year (YoY) production values and forecast",NA,NA,0.5
"2015-12-31","Արևային էլեկտրակայաններ","Actual Data",0,"Year-over-year (YoY) production values and forecast",NA,NA,0.5
"2016-01-31","Արևային էլեկտրակայաններ","Actual Data",0,"Year-over-year (YoY) production values and forecast",NA,NA,0.5
"2016-02-29","Արևային էլեկտրակայաններ","Actual Data",0,"Year-over-year (YoY) production values and forecast",NA,NA,0.5
"2016-03-31","Արևային էլեկտրակայաններ","Actual Data",0,"Year-over-year (YoY) production values and forecast",NA,NA,0.5
"2016-04-30","Արևային էլեկտրակայաններ","Actual Data",0,"Year-over-year (YoY) production values and forecast",NA,NA,0.5
"2016-05-31","Արևային էլեկտրակայաններ","Actual Data",0,"Year-over-year (YoY) production values and forecast",NA,NA,0.5
"2016-06-30","Արևային էլեկտրակայաններ","Actual Data",0,"Year-over-year (YoY) production values and forecast",NA,NA,0.5
"2016-07-31","Արևային էլեկտրակայաններ","Actual Data",0,"Year-over-year (YoY) production values and forecast",NA,NA,0.5
"2016-08-31","Արևային էլեկտրակայաններ","Actual Data",0,"Year-over-year (YoY) production values and forecast",NA,NA,0.5
"2016-09-30","Արևային էլեկտրակայաններ","Actual Data",0,"Year-over-year (YoY) production values and forecast",NA,NA,0.5
"2016-10-31","Արևային էլեկտրակայաններ","Actual Data",0,"Year-over-year (YoY) production values and forecast",NA,NA,0.5
"2016-11-30","Արևային էլեկտրակայաններ","Actual Data",0,"Year-over-year (YoY) production values and forecast",NA,NA,0.5
"2016-12-31","Արևային էլեկտրակայաններ","Actual Data",0,"Year-over-year (YoY) production values and forecast",NA,NA,0.5
"2017-01-31","Արևային էլեկտրակայաններ","Actual Data",0,"Year-over-year (YoY) production values and forecast",NA,NA,0.5
"2017-02-28","Արևային էլեկտրակայաններ","Actual Data",0,"Year-over-year (YoY) production values and forecast",NA,NA,0.5
"2017-03-31","Արևային էլեկտրակայաններ","Actual Data",0,"Year-over-year (YoY) production values and forecast",NA,NA,0.5
"2017-04-30","Արևային էլեկտրակայաններ","Actual Data",0,"Year-over-year (YoY) production values and forecast",NA,NA,0.5
"2017-05-31","Արևային էլեկտրակայաններ","Actual Data",0,"Year-over-year (YoY) production values and forecast",NA,NA,0.5
"2017-06-30","Արևային էլեկտրակայաններ","Actual Data",0,"Year-over-year (YoY) production values and forecast",NA,NA,0.5
"2017-07-31","Արևային էլեկտրակայաններ","Actual Data",0,"Year-over-year (YoY) production values and forecast",NA,NA,0.5
"2017-08-31","Արևային էլեկտրակայաններ","Actual Data",0,"Year-over-year (YoY) production values and forecast",NA,NA,0.5
"2017-09-30","Արևային էլեկտրակայաններ","Actual Data",0.3,"Year-over-year (YoY) production values and forecast",NA,NA,0.5
"2017-10-31","Արևային էլեկտրակայաններ","Actual Data",0.5,"Year-over-year (YoY) production values and forecast",NA,NA,0.5
"2017-11-30","Արևային էլեկտրակայաններ","Actual Data",0.8,"Year-over-year (YoY) production values and forecast",NA,NA,0.5
"2017-12-31","Արևային էլեկտրակայաններ","Actual Data",1,"Year-over-year (YoY) production values and forecast",NA,NA,0.5
"2018-01-31","Արևային էլեկտրակայաններ","Actual Data",1.5,"Year-over-year (YoY) production values and forecast",NA,NA,0.5
"2018-02-28","Արևային էլեկտրակայաններ","Actual Data",1.8,"Year-over-year (YoY) production values and forecast",NA,NA,0.5
"2018-03-31","Արևային էլեկտրակայաններ","Actual Data",2.3,"Year-over-year (YoY) production values and forecast",NA,NA,0.5
"2018-04-30","Արևային էլեկտրակայաններ","Actual Data",2.8,"Year-over-year (YoY) production values and forecast",NA,NA,0.5
"2018-05-31","Արևային էլեկտրակայաններ","Actual Data",3.4,"Year-over-year (YoY) production values and forecast",NA,NA,0.5
